Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
Bin_Bin_151-contigs.cleaned	71.75	13.67	Gradient Boost (General Model)	11	0.902	1789	244.49711062190423	5894014	0.59	7268	None
Bin_Bin_17_sub_1-contigs.cleaned	97.96	16.19	Gradient Boost (General Model)	11	0.925	92228	329.53953759471534	5490106	0.53	5147	None
Bin_Bin_181_sub-contigs.cleaned	96.03	4.85	Gradient Boost (General Model)	11	0.802	7476	332.4177016192423	7901233	0.35	6361	None
Bin_Bin_200_sub-contigs.cleaned	46.74	3.95	Gradient Boost (General Model)	11	0.897	1713	248.979336255479	5308803	0.64	6388	None
Bin_Bin_201_1-contigs.cleaned	94.71	0.13	Neural Network (Specific Model)	11	0.918	162806	313.31934408004446	3679659	0.59	3598	None
Bin_Bin_220_sub-contigs.cleaned	74.26	14.35	Gradient Boost (General Model)	11	0.836	3176	246.28502348715114	6379003	0.48	7238	None
Bin_Bin_22_sub-contigs.cleaned	84.97	13.63	Gradient Boost (General Model)	11	0.885	2754	235.00493583415596	3218656	0.54	4052	None
Bin_Bin_231_sub-contigs.cleaned	67.49	0.26	Neural Network (Specific Model)	11	0.878	3566	280.6953578336557	3958541	0.58	4136	None
Bin_Bin_238_sub-contigs.cleaned	88.0	11.49	Gradient Boost (General Model)	11	0.836	1975	233.928967327888	5742681	0.34	6856	None
Bin_Bin_241_sub-contigs.cleaned	60.12	14.12	Gradient Boost (General Model)	11	0.867	5734	268.02079002079	5787288	0.45	6253	None
Bin_Bin_27-contigs.cleaned	95.96	0.62	Gradient Boost (General Model)	11	0.841	25195	346.98543335761104	6788532	0.33	5492	None
Bin_Bin_271_sub_1-contigs.cleaned	81.63	2.22	Gradient Boost (General Model)	11	0.916	8075	284.53	2696353	0.58	2900	None
Bin_Bin_282-contigs.cleaned	73.26	3.2	Gradient Boost (General Model)	11	0.88	3302	248.12931711145995	4303981	0.42	5096	None
Bin_Bin_288-contigs.cleaned	57.58	2.18	Gradient Boost (General Model)	11	0.923	2527	227.48688750862664	2136411	0.59	2898	None
Bin_Bin_293_sub-contigs.cleaned	37.35	0.63	Gradient Boost (General Model)	11	0.893	3035	288.86522593320234	4928021	0.47	5090	None
Bin_Bin_294_sub_1-contigs.cleaned	85.04	16.3	Gradient Boost (General Model)	11	0.912	3424	270.8387025105532	4001761	0.38	4501	None
Bin_Bin_310_sub_1-contigs.cleaned	89.05	1.05	Gradient Boost (General Model)	11	0.894	7673	305.98527201683197	3414075	0.58	3327	None
Bin_Bin_312-contigs.cleaned	94.29	3.08	Gradient Boost (General Model)	11	0.847	9209	343.4384904427381	7441224	0.4	6121	None
Bin_Bin_32_sub-contigs.cleaned	78.79	8.3	Gradient Boost (General Model)	11	0.891	4253	251.47268186075553	5413006	0.58	6406	None
Bin_Bin_51_sub-contigs.cleaned	93.67	1.33	Gradient Boost (General Model)	11	0.854	16038	339.18252523581003	7187592	0.47	6043	None
Bin_Bin_53_sub-contigs.cleaned	91.76	0.88	Gradient Boost (General Model)	11	0.852	6953	327.0556900726392	6650386	0.39	5782	None
Bin_Bin_6_sub-contigs.cleaned	78.58	8.57	Gradient Boost (General Model)	11	0.903	5015	280.61794670846393	2373783	0.45	2552	None
Bin_Bin_72-contigs.cleaned	75.62	3.26	Gradient Boost (General Model)	11	0.91	2704	269.58259045621395	3386506	0.38	3814	None
Bin_Bin_85_sub-contigs.cleaned	80.94	3.58	Gradient Boost (General Model)	11	0.875	7412	320.3952380952381	4831324	0.5	4410	None
Bin_Bin_93_sub-contigs.cleaned	85.58	7.12	Gradient Boost (General Model)	11	0.911	2718	242.45325054784513	4364358	0.48	5476	None
Bin_Bin_97_sub_1-contigs.cleaned	76.15	3.53	Gradient Boost (General Model)	11	0.934	5592	287.9746782897468	2226615	0.29	2409	None
Bin_METABAT__101_sub-contigs.cleaned	88.65	1.61	Neural Network (Specific Model)	11	0.911	33699	294.96870229007635	3807441	0.63	3930	None
Bin_METABAT__103_sub_1-contigs.cleaned	84.17	9.72	Neural Network (Specific Model)	11	0.932	14067	314.1430490261921	4508634	0.65	4467	None
Bin_METABAT__106_1-contigs.cleaned	94.53	0.05	Neural Network (Specific Model)	11	0.858	42895	291.9613302397525	1317572	0.34	1293	None
Bin_METABAT__108_1-contigs.cleaned	95.63	1.58	Gradient Boost (General Model)	11	0.92	23912	323.88083817217876	4175794	0.53	3961	None
Bin_METABAT__10_1-contigs.cleaned	85.14	4.46	Neural Network (Specific Model)	11	0.912	20370	304.34768856447687	4105851	0.6	4110	None
Bin_METABAT__110-contigs.cleaned	64.76	5.1	Gradient Boost (General Model)	11	0.921	5354	273.63077445652175	2619120	0.58	2944	None
Bin_METABAT__113_1-contigs.cleaned	76.56	3.09	Neural Network (Specific Model)	11	0.862	12266	349.3802136317396	4771496	0.51	3932	None
Bin_METABAT__115-contigs.cleaned	94.5	0.81	Gradient Boost (General Model)	11	0.924	27096	340.5845930232558	3797195	0.5	3440	None
Bin_METABAT__117-contigs.cleaned	86.31	0.0	Neural Network (Specific Model)	11	0.903	34945	335.6912	2088459	0.37	1875	None
Bin_METABAT__121_1-contigs.cleaned	94.35	0.24	Gradient Boost (General Model)	11	0.927	131479	356.8742857142857	5245580	0.56	4550	None
Bin_METABAT__123_sub-contigs.cleaned	87.67	0.32	Neural Network (Specific Model)	11	0.888	43128	308.5021213406873	4905647	0.57	4714	None
Bin_METABAT__127-contigs.cleaned	80.6	1.83	Gradient Boost (General Model)	11	0.926	8059	302.2627388535032	4295959	0.53	4396	None
Bin_METABAT__132_1-contigs.cleaned	91.76	7.19	Gradient Boost (General Model)	11	0.898	16812	317.39988470407377	5507274	0.52	5204	None
Bin_METABAT__134-contigs.cleaned	81.02	0.13	Gradient Boost (General Model)	11	0.889	120926	372.78823529411767	5015948	0.5	3995	None
Bin_METABAT__135-contigs.cleaned	89.85	0.04	Neural Network (Specific Model)	11	0.897	18133	313.30008045052296	1300288	0.39	1243	None
Bin_METABAT__136-contigs.cleaned	80.47	5.11	Gradient Boost (General Model)	11	0.909	9455	289.12248282397536	4017233	0.53	4221	None
Bin_METABAT__14-contigs.cleaned	68.71	2.29	Gradient Boost (General Model)	11	0.903	6372	279.13262527233115	3399163	0.59	3672	None
Bin_METABAT__142_sub-contigs.cleaned	69.7	3.34	Gradient Boost (General Model)	11	0.866	5457	261.96845194424066	1234417	0.34	1363	None
Bin_METABAT__143-contigs.cleaned	86.51	8.32	Neural Network (Specific Model)	11	0.91	15843	288.02375537023	3748236	0.58	3957	None
Bin_METABAT__145_1-contigs.cleaned	81.5	4.27	Neural Network (Specific Model)	11	0.877	19365	359.4878978463884	6439943	0.52	5247	None
Bin_METABAT__149-contigs.cleaned	90.25	0.13	Neural Network (Specific Model)	11	0.885	76881	288.50342465753425	1139266	0.3	1168	None
Bin_METABAT__151_1-contigs.cleaned	73.29	2.37	Neural Network (Specific Model)	11	0.92	14104	294.43321718931475	3300945	0.59	3444	None
Bin_METABAT__157_1-contigs.cleaned	79.08	3.4	Gradient Boost (General Model)	11	0.9	19736	360.1507411630559	5255838	0.51	4385	None
Bin_METABAT__160-contigs.cleaned	85.61	3.31	Neural Network (Specific Model)	11	0.914	23486	376.658256880734	5381602	0.56	4360	None
Bin_METABAT__161-contigs.cleaned	96.52	1.02	Gradient Boost (General Model)	11	0.921	37371	351.75073512779915	5053888	0.59	4421	None
Bin_METABAT__165_1-contigs.cleaned	90.73	7.01	Gradient Boost (General Model)	11	0.905	27841	348.5727157761619	7303146	0.47	6326	None
Bin_METABAT__17-contigs.cleaned	86.75	7.74	Neural Network (Specific Model)	11	0.884	19330	364.8016344725111	6650922	0.54	5384	None
Bin_METABAT__171-contigs.cleaned	75.53	1.83	Neural Network (Specific Model)	11	0.922	27143	303.489235964542	2334628	0.48	2369	None
Bin_METABAT__175-contigs.cleaned	86.89	0.56	Gradient Boost (General Model)	11	0.867	14131	347.79633867276885	6304267	0.51	5244	None
Bin_METABAT__181_1-contigs.cleaned	85.03	0.08	Neural Network (Specific Model)	11	0.896	33867	308.45715700842	4158244	0.58	4038	None
Bin_METABAT__183_1-contigs.cleaned	96.24	2.18	Gradient Boost (General Model)	11	0.934	46633	347.2922209369578	7702640	0.63	6916	None
Bin_METABAT__187-contigs.cleaned	96.87	3.23	Gradient Boost (General Model)	11	0.917	17719	333.9117225566065	3804806	0.35	3489	None
Bin_METABAT__189_1-contigs.cleaned	90.5	3.11	Gradient Boost (General Model)	11	0.863	67876	375.3105434991358	6778316	0.49	5207	None
Bin_METABAT__18_sub-contigs.cleaned	93.07	1.64	Gradient Boost (General Model)	11	0.908	14690	305.8705002337541	2158051	0.35	2139	None
Bin_METABAT__192-contigs.cleaned	67.48	2.53	Neural Network (Specific Model)	11	0.921	7231	311.16090629800306	2635771	0.37	2604	None
Bin_METABAT__193_1-contigs.cleaned	93.44	1.67	Gradient Boost (General Model)	11	0.932	49504	355.4286783042394	4579007	0.59	4010	None
Bin_METABAT__196-contigs.cleaned	75.68	3.36	Neural Network (Specific Model)	11	0.909	16823	310.2627148368993	2915649	0.35	2851	None
Bin_METABAT__1_1-contigs.cleaned	83.37	7.24	Neural Network (Specific Model)	11	0.881	10738	294.73130841121497	3856221	0.63	3852	None
Bin_METABAT__2-contigs.cleaned	69.55	2.96	Neural Network (Specific Model)	11	0.917	7311	272.76760781880233	2868635	0.55	3223	None
Bin_METABAT__20-contigs.cleaned	80.43	1.16	Gradient Boost (General Model)	11	0.872	7730	291.4056628056628	3888530	0.51	3885	None
Bin_METABAT__201-contigs.cleaned	80.48	1.09	Neural Network (Specific Model)	11	0.925	17247	332.0364583333333	2681861	0.4	2496	None
Bin_METABAT__206_sub-contigs.cleaned	55.11	2.99	Neural Network (Specific Model)	11	0.914	5319	266.87893553223387	2331262	0.54	2668	None
Bin_METABAT__210_1-contigs.cleaned	88.03	1.51	Gradient Boost (General Model)	11	0.931	26882	311.29855537720704	1870363	0.53	1869	None
Bin_METABAT__211-contigs.cleaned	74.59	0.97	Neural Network (Specific Model)	11	0.904	56485	413.14593980692786	4822627	0.54	3522	None
Bin_METABAT__212_1-contigs.cleaned	96.14	0.31	Gradient Boost (General Model)	11	0.927	21501	330.8483027936317	3558172	0.37	3329	None
Bin_METABAT__218_1-contigs.cleaned	83.02	1.69	Neural Network (Specific Model)	11	0.898	32691	327.876526458616	3223908	0.38	2948	None
Bin_METABAT__219-contigs.cleaned	88.58	0.39	Neural Network (Specific Model)	11	0.919	58965	310.9510757441792	3437146	0.55	3393	None
Bin_METABAT__220_1-contigs.cleaned	85.08	2.18	Gradient Boost (General Model)	11	0.905	86030	344.457779886148	4804300	0.51	4216	None
Bin_METABAT__224_1-contigs.cleaned	96.3	0.3	Gradient Boost (General Model)	11	0.917	53277	294.82467239042023	2131843	0.4	2213	None
Bin_METABAT__232_1-contigs.cleaned	75.56	3.54	Gradient Boost (General Model)	11	0.924	11058	318.25384919068296	5222894	0.62	5066	None
Bin_METABAT__236_1-contigs.cleaned	95.85	2.87	Gradient Boost (General Model)	11	0.938	24358	324.68265855370936	4427469	0.59	4273	None
Bin_METABAT__240_1-contigs.cleaned	88.26	2.79	Neural Network (Specific Model)	11	0.905	42466	301.27153652392946	3956923	0.55	3970	None
Bin_METABAT__242_1-contigs.cleaned	90.72	6.93	Gradient Boost (General Model)	11	0.911	26359	323.2157309054122	4203378	0.36	3954	None
Bin_METABAT__243-contigs.cleaned	96.31	0.0	Neural Network (Specific Model)	11	0.906	57027	320.309	1058841	0.31	1000	None
Bin_METABAT__245_sub-contigs.cleaned	75.53	4.36	Gradient Boost (General Model)	11	0.926	14864	324.27962874821515	4406602	0.55	4202	None
Bin_METABAT__247_1-contigs.cleaned	90.86	4.83	Gradient Boost (General Model)	11	0.85	23457	305.24307218611017	6286444	0.38	5846	None
Bin_METABAT__248_1-contigs.cleaned	93.28	0.49	Gradient Boost (General Model)	11	0.911	227134	354.0127846584099	5824949	0.62	5006	None
Bin_METABAT__252_1-contigs.cleaned	87.6	3.82	Neural Network (Specific Model)	11	0.907	33173	296.7534591194969	3895177	0.62	3975	None
Bin_METABAT__256_1-contigs.cleaned	91.02	2.81	Gradient Boost (General Model)	11	0.874	13020	351.76842751842753	5890716	0.39	4884	None
Bin_METABAT__259-contigs.cleaned	88.48	1.69	Neural Network (Specific Model)	11	0.913	58689	355.92230169050714	3592474	0.38	3076	None
Bin_METABAT__261-contigs.cleaned	82.57	1.49	Neural Network (Specific Model)	11	0.921	12219	322.2877492877493	3678499	0.38	3510	None
Bin_METABAT__264_sub_1-contigs.cleaned	88.02	2.42	Gradient Boost (General Model)	11	0.87	39002	369.4550888529887	7883345	0.34	6190	None
Bin_METABAT__271_1-contigs.cleaned	95.43	1.83	Gradient Boost (General Model)	11	0.925	58784	354.73926714233886	9501215	0.69	8269	None
Bin_METABAT__273-contigs.cleaned	88.35	1.96	Neural Network (Specific Model)	11	0.871	54124	379.36115427302997	5872812	0.54	4505	None
Bin_METABAT__276-contigs.cleaned	87.21	0.15	Neural Network (Specific Model)	11	0.93	50976	345.96450100468854	3329227	0.35	2986	None
Bin_METABAT__280-contigs.cleaned	77.4	3.5	Gradient Boost (General Model)	11	0.913	7120	355.25167481441247	6440506	0.66	5523	None
Bin_METABAT__281_1-contigs.cleaned	82.72	1.84	Neural Network (Specific Model)	11	0.916	20563	283.24180761099365	3503123	0.62	3784	None
Bin_METABAT__286-contigs.cleaned	86.61	3.32	Gradient Boost (General Model)	11	0.922	6533	265.7459833795014	3112765	0.63	3610	None
Bin_METABAT__288_1-contigs.cleaned	90.21	2.15	Neural Network (Specific Model)	11	0.903	66741	308.7966885804724	4205514	0.55	4107	None
Bin_METABAT__29-contigs.cleaned	96.98	0.15	Neural Network (Specific Model)	11	0.927	42468	333.7179648241206	3431195	0.55	3184	None
Bin_METABAT__291-contigs.cleaned	90.62	1.15	Gradient Boost (General Model)	11	0.917	29409	310.2460087082729	2792539	0.56	2756	None
Bin_METABAT__293-contigs.cleaned	94.99	2.22	Neural Network (Specific Model)	11	0.938	82361	347.05386775593564	4338705	0.64	3917	None
Bin_METABAT__294-contigs.cleaned	95.21	0.95	Gradient Boost (General Model)	11	0.899	21490	357.14571793779294	5590021	0.45	4694	None
Bin_METABAT__298_1-contigs.cleaned	92.67	6.64	Neural Network (Specific Model)	11	0.909	76460	308.056770705333	4125806	0.58	4069	None
Bin_METABAT__300_1-contigs.cleaned	91.27	0.59	Neural Network (Specific Model)	11	0.92	123100	316.74351653580777	4332558	0.59	4203	None
Bin_METABAT__301_1-contigs.cleaned	72.21	1.61	Neural Network (Specific Model)	11	0.911	16435	296.66433333333333	2926053	0.57	3000	None
Bin_METABAT__30_1-contigs.cleaned	92.42	0.94	Gradient Boost (General Model)	11	0.918	42749	343.9890590809628	3075137	0.59	2742	None
Bin_METABAT__310-contigs.cleaned	92.57	1.5	Neural Network (Specific Model)	11	0.922	19826	300.627425614489	3019733	0.54	3092	None
Bin_METABAT__317-contigs.cleaned	97.99	2.18	Gradient Boost (General Model)	11	0.912	86406	332.30571049136785	4107519	0.49	3765	None
Bin_METABAT__318-contigs.cleaned	78.98	0.07	Gradient Boost (General Model)	11	0.913	9321	317.38714795715987	2623633	0.63	2521	None
Bin_METABAT__319_1-contigs.cleaned	91.18	0.55	Neural Network (Specific Model)	11	0.914	302920	357.52742616033754	4163363	0.57	3555	None
Bin_METABAT__323-contigs.cleaned	85.93	0.51	Gradient Boost (General Model)	11	0.885	7344	291.00216919739694	1814480	0.46	1844	None
Bin_METABAT__326-contigs.cleaned	91.96	2.04	Gradient Boost (General Model)	11	0.895	7734	288.18994889267464	2264916	0.42	2348	None
Bin_METABAT__328-contigs.cleaned	86.61	0.13	Neural Network (Specific Model)	11	0.884	9888	279.9484162895928	1047496	0.33	1105	None
Bin_METABAT__32_1-contigs.cleaned	88.01	2.47	Neural Network (Specific Model)	11	0.931	21885	327.62566844919786	2958574	0.32	2805	None
Bin_METABAT__332_1-contigs.cleaned	90.24	2.32	Gradient Boost (General Model)	11	0.904	55029	348.6878354203936	2584966	0.53	2236	None
Bin_METABAT__333-contigs.cleaned	80.83	2.01	Gradient Boost (General Model)	11	0.868	13559	343.72836823389963	6000994	0.48	5062	None
Bin_METABAT__341-contigs.cleaned	94.26	5.95	Gradient Boost (General Model)	11	0.937	10851	332.47151669085633	5852854	0.65	5512	None
Bin_METABAT__343-contigs.cleaned	90.76	1.97	Neural Network (Specific Model)	11	0.898	73102	336.0764097430764	3362055	0.34	2997	None
Bin_METABAT__344_1-contigs.cleaned	89.49	2.28	Neural Network (Specific Model)	11	0.914	25391	305.75307557117753	4560437	0.59	4552	None
Bin_METABAT__355_1-contigs.cleaned	77.01	1.17	Neural Network (Specific Model)	11	0.918	10695	282.4863544958345	3205610	0.57	3481	None
Bin_METABAT__365-contigs.cleaned	76.18	0.88	Neural Network (Specific Model)	11	0.88	6789	337.46338476610333	4689728	0.55	4083	None
Bin_METABAT__371_1-contigs.cleaned	92.62	0.47	Gradient Boost (General Model)	11	0.925	66362	353.56840137114364	3671950	0.51	3209	None
Bin_METABAT__372_1-contigs.cleaned	97.15	0.35	Gradient Boost (General Model)	11	0.882	105884	358.6704461424698	4942278	0.52	4057	None
Bin_METABAT__373_1-contigs.cleaned	95.15	1.45	Gradient Boost (General Model)	11	0.913	23938	369.5135767790262	7770777	0.44	6408	None
Bin_METABAT__374_1-contigs.cleaned	97.37	1.19	Gradient Boost (General Model)	11	0.852	28294	390.9632644541849	6591702	0.39	4791	None
Bin_METABAT__375-contigs.cleaned	86.15	3.18	Neural Network (Specific Model)	11	0.918	103598	311.0991308433169	4318100	0.55	4257	None
Bin_METABAT__377-contigs.cleaned	87.61	1.33	Gradient Boost (General Model)	11	0.93	115230	333.82768148706356	4277373	0.55	3981	None
Bin_METABAT__378_1-contigs.cleaned	91.3	1.07	Neural Network (Specific Model)	11	0.86	23292	343.6466927863563	5198919	0.39	4339	None
Bin_METABAT__38-contigs.cleaned	71.0	5.15	Gradient Boost (General Model)	11	0.905	9210	345.30642163947965	5534164	0.65	4843	None
Bin_METABAT__380-contigs.cleaned	85.42	5.83	Neural Network (Specific Model)	11	0.935	14062	319.0593280914939	4286535	0.67	4197	None
Bin_METABAT__382-contigs.cleaned	26.27	0.0	Neural Network (Specific Model)	11	0.926	7685	281.430296377607	829613	0.58	911	None
Bin_METABAT__384-contigs.cleaned	93.79	0.33	Gradient Boost (General Model)	11	0.885	63425	329.00490011307954	2949452	0.4	2653	None
Bin_METABAT__385_1-contigs.cleaned	99.79	2.55	Neural Network (Specific Model)	11	0.915	28569	402.46680267062317	7100002	0.55	5392	None
Bin_METABAT__386_1-contigs.cleaned	86.46	3.07	Neural Network (Specific Model)	11	0.918	13236	305.94467277900725	3159004	0.29	3163	None
Bin_METABAT__389_1-contigs.cleaned	89.68	0.02	Gradient Boost (General Model)	11	0.892	98602	300.6878048780488	2276330	0.4	2255	None
Bin_METABAT__391_1-contigs.cleaned	100.0	1.41	Gradient Boost (General Model)	11	0.918	93800	330.15618924173685	4984680	0.51	4629	None
Bin_METABAT__395_1-contigs.cleaned	89.7	0.87	Gradient Boost (General Model)	11	0.93	28002	331.6601553829079	4809214	0.5	4505	None
Bin_METABAT__396_1-contigs.cleaned	94.94	0.01	Neural Network (Specific Model)	11	0.869	27773	282.8285714285714	1194008	0.31	1225	None
Bin_METABAT__398_1-contigs.cleaned	93.91	0.23	Neural Network (Specific Model)	11	0.893	135774	307.45946533362314	4742033	0.55	4601	None
Bin_METABAT__399-contigs.cleaned	74.97	0.84	Gradient Boost (General Model)	11	0.89	6256	277.2320376914017	1584417	0.34	1698	None
Bin_METABAT__4-contigs.cleaned	89.8	5.22	Neural Network (Specific Model)	11	0.909	12816	332.59960595446586	5005435	0.41	4568	None
Bin_METABAT__401-contigs.cleaned	66.16	4.5	Gradient Boost (General Model)	11	0.916	6723	313.8408309076475	7749643	0.66	7558	None
Bin_METABAT__408-contigs.cleaned	97.72	6.21	Gradient Boost (General Model)	11	0.884	48461	334.2088477366255	6598363	0.52	5832	None
Bin_METABAT__410_1-contigs.cleaned	95.98	1.97	Gradient Boost (General Model)	11	0.887	129380	338.68481170801357	6410195	0.5	5603	None
Bin_METABAT__411_1-contigs.cleaned	92.57	0.01	Gradient Boost (General Model)	11	0.927	20186	324.40054794520546	1913069	0.46	1825	None
Bin_METABAT__416_1-contigs.cleaned	87.25	1.14	Neural Network (Specific Model)	11	0.919	21816	316.7920967266293	3500308	0.43	3391	None
Bin_METABAT__418-contigs.cleaned	62.17	6.61	Neural Network (Specific Model)	11	0.926	7817	289.0322314049587	2261439	0.33	2420	None
Bin_METABAT__420_1-contigs.cleaned	82.48	0.43	Neural Network (Specific Model)	11	0.926	77307	305.6977322149736	3181629	0.59	3219	None
Bin_METABAT__421_1-contigs.cleaned	98.48	0.17	Gradient Boost (General Model)	11	0.891	66938	317.9655172413793	3005125	0.38	2813	None
Bin_METABAT__429_1-contigs.cleaned	93.29	0.06	Gradient Boost (General Model)	11	0.896	69442	328.7175897748022	3610869	0.46	3286	None
Bin_METABAT__43-contigs.cleaned	83.51	3.58	Gradient Boost (General Model)	11	0.905	8185	275.98096004290693	3402856	0.54	3729	None
Bin_METABAT__430-contigs.cleaned	95.92	1.01	Gradient Boost (General Model)	11	0.925	104947	333.51783702591064	5747435	0.56	5326	None
Bin_METABAT__433-contigs.cleaned	90.65	1.26	Gradient Boost (General Model)	11	0.897	8568	336.80547850208046	6486183	0.55	5768	None
Bin_METABAT__435_1-contigs.cleaned	82.64	2.14	Gradient Boost (General Model)	11	0.869	50940	369.751413950983	4731743	0.51	3713	None
Bin_METABAT__436_1-contigs.cleaned	91.58	0.1	Gradient Boost (General Model)	11	0.898	30713	281.01273623664747	2281504	0.39	2434	None
Bin_METABAT__44-contigs.cleaned	68.63	4.22	Gradient Boost (General Model)	11	0.899	5968	338.98964462226405	4798810	0.44	4249	None
Bin_METABAT__443-contigs.cleaned	83.36	4.39	Neural Network (Specific Model)	11	0.898	49485	332.9063487503591	3868420	0.4	3481	None
Bin_METABAT__445_1-contigs.cleaned	88.03	0.5	Neural Network (Specific Model)	11	0.908	23073	306.30082520630157	4037276	0.58	3999	None
Bin_METABAT__446_1-contigs.cleaned	98.37	0.55	Gradient Boost (General Model)	11	0.91	60991	317.3763521074226	2799759	0.4	2681	None
Bin_METABAT__447_1-contigs.cleaned	94.99	2.59	Gradient Boost (General Model)	11	0.869	70924	386.17387640449437	4736548	0.68	3560	None
Bin_METABAT__449_1-contigs.cleaned	89.86	2.2	Neural Network (Specific Model)	11	0.92	41442	320.34103624422283	4284624	0.59	4111	None
Bin_METABAT__456-contigs.cleaned	84.71	0.9	Neural Network (Specific Model)	11	0.918	22135	296.46107440390693	3367519	0.63	3481	None
Bin_METABAT__461-contigs.cleaned	90.53	0.99	Neural Network (Specific Model)	11	0.877	15088	306.4688661710037	4508717	0.34	4304	None
Bin_METABAT__464_1-contigs.cleaned	92.65	1.29	Neural Network (Specific Model)	11	0.929	29982	306.6476287608363	1938717	0.43	1961	None
Bin_METABAT__46_1-contigs.cleaned	85.72	1.44	Neural Network (Specific Model)	11	0.913	38651	299.7828722002635	3728935	0.58	3795	None
Bin_METABAT__470_1-contigs.cleaned	93.47	4.47	Neural Network (Specific Model)	11	0.903	26360	308.08070004861446	4202895	0.55	4114	None
Bin_METABAT__49_1-contigs.cleaned	86.97	1.28	Gradient Boost (General Model)	11	0.884	83029	388.5117313915858	6506162	0.53	4944	None
Bin_METABAT__5-contigs.cleaned	68.19	3.44	Neural Network (Specific Model)	11	0.921	12301	305.9209486166008	2769749	0.36	2783	None
Bin_METABAT__52_1-contigs.cleaned	96.75	0.79	Gradient Boost (General Model)	11	0.907	92533	335.77902359261856	4749474	0.49	4281	None
Bin_METABAT__57-contigs.cleaned	79.42	2.03	Gradient Boost (General Model)	11	0.916	13098	383.88898756660745	7068053	0.67	5630	None
Bin_METABAT__60-contigs.cleaned	80.66	0.67	Neural Network (Specific Model)	11	0.857	6782	293.89275766016715	737900	0.44	718	None
Bin_METABAT__62_1-contigs.cleaned	93.74	3.2	Gradient Boost (General Model)	11	0.909	59911	332.3318115791658	5279189	0.49	4819	None
Bin_METABAT__64_1-contigs.cleaned	95.56	1.82	Gradient Boost (General Model)	11	0.871	50201	375.20788346186805	7534164	0.33	5835	None
Bin_METABAT__69_1-contigs.cleaned	90.99	0.23	Gradient Boost (General Model)	11	0.915	81004	294.46453734147485	2051176	0.4	2129	None
Bin_METABAT__71-contigs.cleaned	70.76	5.35	Neural Network (Specific Model)	11	0.916	12615	286.3176870748299	2751646	0.56	2940	None
Bin_METABAT__73-contigs.cleaned	98.41	0.14	Gradient Boost (General Model)	11	0.842	56764	335.6641947138239	6283661	0.49	5259	None
Bin_METABAT__79-contigs.cleaned	87.17	0.05	Neural Network (Specific Model)	11	0.917	68190	352.2710580005829	3946163	0.56	3431	None
Bin_METABAT__82_1-contigs.cleaned	89.75	8.58	Gradient Boost (General Model)	11	0.897	78595	364.7809958341599	6140604	0.5	5041	None
Bin_METABAT__83_1-contigs.cleaned	87.3	2.09	Gradient Boost (General Model)	11	0.918	27627	303.8963374754742	3031182	0.5	3058	None
Bin_METABAT__84_1-contigs.cleaned	92.89	1.06	Gradient Boost (General Model)	11	0.887	173894	336.9882777276826	6306587	0.51	5545	None
Bin_METABAT__86_sub_1-contigs.cleaned	96.04	2.75	Gradient Boost (General Model)	11	0.907	10181	284.74402107823266	4633902	0.6	4934	None
Bin_METABAT__87_1-contigs.cleaned	80.01	2.37	Gradient Boost (General Model)	11	0.934	18785	309.02240275726245	4020493	0.63	4062	None
Bin_METABAT__91-contigs.cleaned	96.84	3.25	Gradient Boost (General Model)	11	0.899	29578	303.55824899976466	4296378	0.49	4249	None
Bin_METABAT__92_1-contigs.cleaned	90.23	0.71	Gradient Boost (General Model)	11	0.913	61997	398.9417596034696	6339341	0.66	4842	None
Bin_METABAT__94-contigs.cleaned	97.42	0.15	Gradient Boost (General Model)	11	0.928	115518	341.1924764890282	3511464	0.54	3190	None
Bin_METABAT__97-contigs.cleaned	98.39	0.08	Gradient Boost (General Model)	11	0.888	76442	362.23744944087554	5135244	0.47	4203	None
Bin_METABAT__99_1-contigs.cleaned	78.29	3.36	Gradient Boost (General Model)	11	0.889	7769	286.0352993744415	2158992	0.41	2238	None
Bin_METABAT__9_1-contigs.cleaned	96.79	0.12	Neural Network (Specific Model)	11	0.929	69805	353.51220295439947	3548926	0.33	3114	None
