SampleID,Assession,Filename,StudyFirstAuthor,SeagrassSpecies,Location,Date,Tissue,Tissue,TissueLocation,Lat,Long,MetaType,CitationLink,CitationID
ERR4579589,ERR4579589,Sogin,Sogin,Posidonia oceanica,Mediterranean Sea,4/11/16,sediment,sediment,belowground,42.808304,10.142891,Metatranscriptome,https://www.nature.com/articles/s41559-022-01740-z,Sogin et al. (2022)
ERR4579590,ERR4579590,Sogin,Sogin,Posidonia oceanica,Mediterranean Sea,4/11/16,sediment,sediment,belowground,42.808304,10.142891,Metatranscriptome,https://www.nature.com/articles/s41559-022-01740-z,Sogin et al. (2022)
ERR4579591,ERR4579591,Sogin,Sogin,Posidonia oceanica,Mediterranean Sea,4/11/16,sediment,sediment,belowground,42.808304,10.142891,Metatranscriptome,https://www.nature.com/articles/s41559-022-01740-z,Sogin et al. (2022)
ERR4579592,ERR4579592,Sogin,Sogin,Posidonia oceanica,Mediterranean Sea,4/11/16,sediment,sediment,belowground,42.808304,10.142891,Metatranscriptome,https://www.nature.com/articles/s41559-022-01740-z,Sogin et al. (2022)
ERR4579593,ERR4579593,Sogin,Sogin,Posidonia oceanica,Mediterranean Sea,4/11/16,sediment,sediment,belowground,42.808304,10.142891,Metatranscriptome,https://www.nature.com/articles/s41559-022-01740-z,Sogin et al. (2022)
ERR4579594,ERR4579594,Sogin,Sogin,Posidonia oceanica,Mediterranean Sea,4/11/16,sediment,sediment,belowground,42.808304,10.142891,Metatranscriptome,https://www.nature.com/articles/s41559-022-01740-z,Sogin et al. (2022)
ERR4579595,ERR4579595,Sogin,Sogin,Posidonia oceanica,Mediterranean Sea,4/11/16,sediment,sediment,belowground,42.808304,10.142891,Metatranscriptome,https://www.nature.com/articles/s41559-022-01740-z,Sogin et al. (2022)
ERR4579596,ERR4579596,Sogin,Sogin,Posidonia oceanica,Mediterranean Sea,4/11/16,sediment,sediment,belowground,42.808304,10.142891,Metatranscriptome,https://www.nature.com/articles/s41559-022-01740-z,Sogin et al. (2022)
ERR4579597,ERR4579597,Sogin,Sogin,Posidonia oceanica,Mediterranean Sea,4/11/16,sediment,sediment,belowground,42.808304,10.142891,Metatranscriptome,https://www.nature.com/articles/s41559-022-01740-z,Sogin et al. (2022)
SRR6350024,SRR6350024,Cucio,Cucio,Zostera marina,France,13-Jun,root,root,belowground,48.7269,-3.9766,Metagenome,https://www.frontiersin.org/articles/10.3389/fmars.2018.00171/full,Cucio et al. (2018)
SRR6350025,SRR6350025,Cucio,Cucio,Zostera marina,Portugal,13-Jun,root,root,belowground,36.9988,-7.8254,Metagenome,https://www.frontiersin.org/articles/10.3389/fmars.2018.00171/full,Cucio et al. (2018)
SRR6876832,SRR6876832,Fraser,Fraser,Amphibolis antarctica,Austrailia,3/30/14,sediment,sediment,belowground,-25.857867,113.777917,Metagenome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01703/full,Fraser et al. (2018)
SRR6876833,SRR6876833,Fraser,Fraser,Amphibolis antarctica,Austrailia,3/31/14,sediment,sediment,belowground,-25.8158,113.825235,Metagenome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01703/full,Fraser et al. (2018)
SRR6876834,SRR6876834,Fraser,Fraser,Amphibolis antarctica,Austrailia,4/1/14,sediment,sediment,belowground,-25.8158,113.825234,Metagenome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01703/full,Fraser et al. (2018)
SRR6876835,SRR6876835,Fraser,Fraser,Amphibolis antarctica,Austrailia,4/2/14,sediment,sediment,belowground,-25.8158,113.825233,Metagenome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01703/full,Fraser et al. (2018)
SRR6876836,SRR6876836,Fraser,Fraser,Amphibolis antarctica,Austrailia,4/3/14,sediment,sediment,belowground,-25.771083,113.719719,Metagenome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01703/full,Fraser et al. (2018)
SRR6876837,SRR6876837,Fraser,Fraser,Amphibolis antarctica,Austrailia,4/4/14,sediment,sediment,belowground,-25.771083,113.719718,Metagenome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01703/full,Fraser et al. (2018)
SRR6876838,SRR6876838,Fraser,Fraser,Amphibolis antarctica,Austrailia,4/5/14,sediment,sediment,belowground,-25.771083,113.719717,Metagenome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01703/full,Fraser et al. (2018)
SRR6876839,SRR6876839,Fraser,Fraser,Amphibolis antarctica,Austrailia,4/6/14,sediment,sediment,belowground,-25.622083,113.59097,Metagenome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01703/full,Fraser et al. (2018)
SRR6876840,SRR6876840,Fraser,Fraser,Amphibolis antarctica,Austrailia,4/7/14,sediment,sediment,belowground,-25.622083,113.59096,Metagenome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01703/full,Fraser et al. (2018)
SRR6876841,SRR6876841,Fraser,Fraser,Amphibolis antarctica,Austrailia,4/8/14,sediment,sediment,belowground,-25.622083,113.59095,Metagenome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01703/full,Fraser et al. (2018)
SRR6876842,SRR6876842,Fraser,Fraser,Amphibolis antarctica,Austrailia,4/9/14,sediment,sediment,belowground,-26.06417,113.727032,Metagenome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01703/full,Fraser et al. (2018)
SRR6876843,SRR6876843,Fraser,Fraser,Amphibolis antarctica,Austrailia,4/10/14,sediment,sediment,belowground,-25.931037,113.752946,Metagenome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01703/full,Fraser et al. (2018)
SRR6876844,SRR6876844,Fraser,Fraser,Amphibolis antarctica,Austrailia,4/11/14,sediment,sediment,belowground,-26.06417,113.727034,Metagenome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01703/full,Fraser et al. (2018)
SRR6876845,SRR6876845,Fraser,Fraser,Amphibolis antarctica,Austrailia,4/12/14,sediment,sediment,belowground,-26.06417,113.727033,Metagenome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01703/full,Fraser et al. (2018)
SRR6876846,SRR6876846,Fraser,Fraser,Amphibolis antarctica,Austrailia,4/13/14,sediment,sediment,belowground,-25.857867,113.777919,Metagenome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01703/full,Fraser et al. (2018)
SRR6876847,SRR6876847,Fraser,Fraser,Amphibolis antarctica,Austrailia,4/14/14,sediment,sediment,belowground,-25.857867,113.777918,Metagenome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01703/full,Fraser et al. (2018)
SRR6876848,SRR6876848,Fraser,Fraser,Amphibolis antarctica,Austrailia,4/15/14,sediment,sediment,belowground,-25.931037,113.752946,Metagenome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01703/full,Fraser et al. (2018)
SRR6876849,SRR6876849,Fraser,Fraser,Amphibolis antarctica,Austrailia,4/16/14,sediment,sediment,belowground,-25.931037,113.752946,Metagenome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01703/full,Fraser et al. (2018)
SRR6310506,SRR6310506,Crump,Crump,Zostera marina,"Oregon, USA",9/8/14,leaf,leaf,aboveground,45.394187,-123.939629,Metatranscriptome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.00388/full,Crump et al. (2018)
SRR6310507,SRR6310507,Crump,Crump,Zostera japonica,"Oregon, USA",9/8/14,leaf,leaf,aboveground,45.394187,-123.939629,Metatranscriptome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.00388/full,Crump et al. (2018)
SRR6310508,SRR6310508,Crump,Crump,Zostera marina,"Oregon, USA",9/8/14,root,root,belowground,45.394187,-123.939629,Metatranscriptome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.00388/full,Crump et al. (2018)
SRR6310509,SRR6310509,Crump,Crump,Zostera japonica,"Oregon, USA",9/8/14,root,root,belowground,45.394187,-123.939629,Metatranscriptome,https://www.frontiersin.org/articles/10.3389/fmicb.2018.00388/full,Crump et al. (2018)
SRR12681089,SRR12681089,Rubio-Portillo,Rubio-Portillo,Posidonia oceanica,Spain,16-Sep,banquettes,banquettes,belowground,38.12,-0.3,Metagenome,https://journals.asm.org/doi/full/10.1128/mSystems.00866-21,Rubio-Portillo et al. (2021)
ERR6365269,ERR6365269,Mohr,Mohr,Posidonia oceanica,Italy,6/10/14,root,root,belowground,42.730715,10.15508,Metatranscriptome,https://www.nature.com/articles/s41586-021-04063-4,Mohr et al. (2021)
ERR6365270,ERR6365270,Mohr,Mohr,Posidonia oceanica,Italy,6/10/14,root,root,belowground,42.730715,10.15508,Metatranscriptome,https://www.nature.com/articles/s41586-021-04063-4,Mohr et al. (2021)
ERR6365271,ERR6365271,Mohr,Mohr,Posidonia oceanica,Italy,6/10/14,root,root,belowground,42.730715,10.15508,Metatranscriptome,https://www.nature.com/articles/s41586-021-04063-4,Mohr et al. (2021)
ERR6365272,ERR6365272,Mohr,Mohr,Posidonia oceanica,Italy,6/11/14,root,root,belowground,42.730715,10.15508,Metatranscriptome,https://www.nature.com/articles/s41586-021-04063-4,Mohr et al. (2021)
ERR6365273,ERR6365273,Mohr,Mohr,Posidonia oceanica,Italy,6/12/14,root,root,belowground,42.730715,10.15508,Metatranscriptome,https://www.nature.com/articles/s41586-021-04063-4,Mohr et al. (2021)
CE_108A,NA,Ettinger,Ettinger,Zostera marina,"California, USA",8/19/16,leaf,leaf,aboveground,38.320039,-123.053636,Metagenome,NA,This study
CE_109A,NA,Ettinger,Ettinger,Zostera marina,"California, USA",8/19/16,leaf,leaf,aboveground,38.320039,-123.053636,Metagenome,NA,This study
CE_140A,NA,Ettinger,Ettinger,Zostera marina,"California, USA",8/19/16,leaf,leaf,aboveground,38.320156,-123.053764,Metagenome,NA,This study
ERR3624084,ERR3624084,SoginMETA,Sogin,Posidonia oceanica,Mediterranean Sea,4/11/16,sediment,sediment,belowground,42.808304,10.142891,Metagenome,https://www.nature.com/articles/s41559-022-01740-z,Sogin et al. (2022)
ERR3624086,ERR3624086,SoginMETA,Sogin,Posidonia oceanica,Mediterranean Sea,4/11/16,sediment,sediment,belowground,42.808304,10.142891,Metagenome,https://www.nature.com/articles/s41559-022-01740-z,Sogin et al. (2022)
ERR3624088,ERR3624088,SoginMETA,Sogin,Posidonia oceanica,Mediterranean Sea,4/12/16,sediment,sediment,belowground,42.808304,10.142891,Metagenome,https://www.nature.com/articles/s41559-022-01740-z,Sogin et al. (2022)
ERR3624090,ERR3624090,SoginMETA,Sogin,Posidonia oceanica,Mediterranean Sea,4/13/16,sediment,sediment,belowground,42.808304,10.142891,Metagenome,https://www.nature.com/articles/s41559-022-01740-z,Sogin et al. (2022)
ERR3624092,ERR3624092,SoginMETA,Sogin,Posidonia oceanica,Mediterranean Sea,4/14/16,sediment,sediment,belowground,42.808304,10.142891,Metagenome,https://www.nature.com/articles/s41559-022-01740-z,Sogin et al. (2022)
ERR3624094,ERR3624094,SoginMETA,Sogin,Posidonia oceanica,Mediterranean Sea,4/15/16,sediment,sediment,belowground,42.808304,10.142891,Metagenome,https://www.nature.com/articles/s41559-022-01740-z,Sogin et al. (2022)
ERR3624096,ERR3624096,SoginMETA,Sogin,Posidonia oceanica,Mediterranean Sea,4/16/16,sediment,sediment,belowground,42.808304,10.142891,Metagenome,https://www.nature.com/articles/s41559-022-01740-z,Sogin et al. (2022)
ERR3624098,ERR3624098,SoginMETA,Sogin,Posidonia oceanica,Mediterranean Sea,4/17/16,sediment,sediment,belowground,42.808304,10.142891,Metagenome,https://www.nature.com/articles/s41559-022-01740-z,Sogin et al. (2022)
ERR3624100,ERR3624100,SoginMETA,Sogin,Posidonia oceanica,Mediterranean Sea,4/18/16,sediment,sediment,belowground,42.808304,10.142891,Metagenome,https://www.nature.com/articles/s41559-022-01740-z,Sogin et al. (2022)
SRR18245246,SRR18245246,Miranda,Miranda,Zostera marina,"Massachusetts, CA",9/19/19,sediment,sediment,belowground,41.61 N,70.64 W,Metagenome,https://journals.asm.org/doi/full/10.1128/msystems.00592-22,Miranda et al. (2022)
SRR18245247,SRR18245247,Miranda,Miranda,Zostera marina,"Massachusetts, CA",9/19/19,rhizome,rhizome,belowground,41.61 N,70.64 W,Metagenome,https://journals.asm.org/doi/full/10.1128/msystems.00592-22,Miranda et al. (2022)
SRR18245248,SRR18245248,Miranda,Miranda,Phyllospadix serrulatus,"Tatoosh Island, WA",7/16/19,rhizome,rhizome,belowground,48.39 N,124.74 W,Metagenome,https://journals.asm.org/doi/full/10.1128/msystems.00592-22,Miranda et al. (2022)
SRR18245251,SRR18245251,Miranda,Miranda,Phyllospadix scouleri,"Tatoosh Island, WA",7/16/19,rhizome,rhizome,belowground,48.39 N,124.74 W,Metagenome,https://journals.asm.org/doi/full/10.1128/msystems.00592-22,Miranda et al. (2022)
SRR18245252,SRR18245252,Miranda,Miranda,Phyllospadix scouleri,"Tatoosh Island, WA",7/16/19,leaf,leaf,aboveground,48.39 N,124.74 W,Metagenome,https://journals.asm.org/doi/full/10.1128/msystems.00592-22,Miranda et al. (2022)
SRR18245253,SRR18245253,Miranda,Miranda,Phyllospadix scouleri,"Tatoosh Island, WA",7/16/19,sediment,sediment,belowground,48.39 N,124.74 W,Metagenome,https://journals.asm.org/doi/full/10.1128/msystems.00592-22,Miranda et al. (2022)
SRR17220965,SRR17220965,Schorn,Schorn,Posidonia oceanica,Mediterranean Sea,9/24/18,sediment,sediment,belowground,42.730780 N,10.155401 E,Metagenome,https://www.pnas.org/doi/10.1073/pnas.2106628119#sec-1,Schorn et al. (2022)
SRR17220966,SRR17220966,Schorn,Schorn,Posidonia oceanica,Mediterranean Sea,6/24/19,sediment,sediment,belowground,42.730780 N,10.155401 E,Metagenome,https://www.pnas.org/doi/10.1073/pnas.2106628119#sec-2,Schorn et al. (2022)
SRR17220967,SRR17220967,Schorn,Schorn,Posidonia oceanica,Mediterranean Sea,6/24/19,sediment,sediment,belowground,42.730780 N,10.155401 E,Metagenome,https://www.pnas.org/doi/10.1073/pnas.2106628119#sec-3,Schorn et al. (2022)
SRR17220968,SRR17220968,Schorn,Schorn,Posidonia oceanica,Mediterranean Sea,6/24/19,sediment,sediment,belowground,42.730780 N,10.155401 E,Metagenome,https://www.pnas.org/doi/10.1073/pnas.2106628119#sec-4,Schorn et al. (2022)
SRR17220969,SRR17220969,Schorn,Schorn,Posidonia oceanica,Mediterranean Sea,9/7/19,sediment,sediment,belowground,42.730780 N,10.155401 E,Metagenome,https://www.pnas.org/doi/10.1073/pnas.2106628119#sec-5,Schorn et al. (2022)
SRR17220970,SRR17220970,Schorn,Schorn,Posidonia oceanica,Mediterranean Sea,9/7/19,sediment,sediment,belowground,42.730780 N,10.155401 E,Metagenome,https://www.pnas.org/doi/10.1073/pnas.2106628119#sec-6,Schorn et al. (2022)
SRR17220971,SRR17220971,Schorn,Schorn,Posidonia oceanica,Mediterranean Sea,9/7/19,sediment,sediment,belowground,42.730780 N,10.155401 E,Metagenome,https://www.pnas.org/doi/10.1073/pnas.2106628119#sec-7,Schorn et al. (2022)
SRR17220972,SRR17220972,Schorn,Schorn,Posidonia oceanica,Mediterranean Sea,9/11/19,sediment,sediment,belowground,42.730780 N,10.155401 E,Metagenome,https://www.pnas.org/doi/10.1073/pnas.2106628119#sec-8,Schorn et al. (2022)
SRR17220977,SRR17220977,Schorn,Schorn,Posidonia oceanica,Mediterranean Sea,9/24/18,sediment,sediment,belowground,42.730780 N,10.155401 E,Metagenome,https://www.pnas.org/doi/10.1073/pnas.2106628119#sec-9,Schorn et al. (2022)
SRR17220978,SRR17220978,Schorn,Schorn,Posidonia oceanica,Mediterranean Sea,9/11/19,sediment,sediment,belowground,42.730780 N,10.155401 E,Metagenome,https://www.pnas.org/doi/10.1073/pnas.2106628119#sec-10,Schorn et al. (2022)
SRR17220979,SRR17220979,Schorn,Schorn,Posidonia oceanica,Mediterranean Sea,9/11/19,sediment,sediment,belowground,42.730780 N,10.155401 E,Metagenome,https://www.pnas.org/doi/10.1073/pnas.2106628119#sec-11,Schorn et al. (2022)
SRR15353278,SRR15353278,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.181691 S,115.761395 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353279,SRR15353279,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.181691 S,115.761395 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353280,SRR15353280,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.16016 S,115.67949 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353281,SRR15353281,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.3149 S,115.67949 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353282,SRR15353282,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.3149 S,115.67949 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353283,SRR15353283,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.3149 S,115.67949 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353284,SRR15353284,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.128974 S,115.734361 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353285,SRR15353285,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.128974 S,115.734361 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353286,SRR15353286,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.128974 S,115.734361 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353287,SRR15353287,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.187707 S,115.741547 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353288,SRR15353288,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.187707 S,115.741547 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353289,SRR15353289,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.16016 S,115.67949 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353290,SRR15353290,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.187707 S,115.741547 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353291,SRR15353291,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.1723 S,115.7704 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353292,SRR15353292,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.1723 S,115.7704 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353293,SRR15353293,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.1723 S,115.7704 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353294,SRR15353294,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.181691 S,115.761395 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)
SRR15353295,SRR15353295,Fraser2023,Fraser,Posidonia sinuosa,Austrailia,2/21/17,sediment,sediment,belowground,32.16016 S,115.67949 E,Metagenome,https://www.sciencedirect.com/science/article/pii/S004896972208247X,Fraser et al. (2023)